text,org_norp,org_loc
I don't know if it's nostalgia or tradition to eat a meal at Sam Woo BBQ in Vegas since this was the go to place for some great roast duck and Chinese BBQ when Chinatown first opened.,Sam Woo is a Chinese restaurant,Sam Woo is in Vegas
"Habib's Persian Cuisine, an Iranian restaurant is located on 2579 S Decatur andSahara.",Habib's Persian Cuisine is an Iranian restaurant,Habib's Persian Cuisine is on 2579 S Decatur and Sahara
Food Express Chinese is an unexpected gem not too far of a drive from the Vegas strip.,Food Express Chinese is a Chinese restaurant,Food Express Chinese is in Vegas
I love coming to Vegas for Aloha Specialties because there aren't many Hawaiian food places in Cali.,Aloha Specialties is a Hawaiian restaurant,Aloha Specialties is in Vegas
"But in the Korean community, this place is known as Baek Li Hyang, a Korean-Chinese restaurant that serves up Jajangmyun, jamppong, and tang soo yook (sweet & sour pork, Korean style).",Baek Li Hyang is a Korean-Chinese restaurant,
"Before Chinatown, there was Diamond China.\nThis is my favorite Chinese restaurant in all Las Vegas.",Diamond China is a Chinese restaurant,Diamond China is in Las Vegas
"Before I moved to Las Vegas, my full knowledge of Asian food was Panda Express.",Panda Express is an Asian restaurant,
"While we have not quite given up on trying some other places, we would be entirely satisfied to stick with Joyful House as our \""""go to\"""" Chinese food in Las Vegas.",Joyful House is a Chinese restaurant,Joyful House is in Las Vegas
"\n\nI ordered the Pad Thai, as most people to a new Thai place do.",Pad Thai is a Thai restaurant,
"If they had, if they had tasted the joy of a Los Tacos carne asada burrito, they would have chased Taco Bell and Roberto's out of town--out into the desert wastelands where people might not mind the dregs of Mexican food.\n\nLos Tacos is playing at a whole other level than Roberto's, Taco Bell and the other Mexican food chains around Vegas.","Los Tacos, Robertos, and Taco Bell are Mexican food chains","Los Tacos, Taco Bell, and Roberto's are in Vegas"
Los Tacos is one of the VERY few Mexican eateries that actually serve quality meals.,Los Tacos is a Mexican eatery,
"Exploring the city's German fare, the BF and I headed over to Cafe Heidelberg the past Friday evening.",Cafe Heidelberg is a German restaurant,
"\n\nOverall, Cafe Heidelberg may probably be more authentic German fare than Hofbrauhaus.",Cafe Heidelberg and Hofbrauhaus are German restaurants,
"and I prefer it over Lotus or Pin Kaow, and most other Thai restaurants in town have been below expectations.",Lotus and Pin Kaow are Thai restaurants,
The Yellow curry is creamier and has more flavor and the Pad Thai is overcooked at Lotus of Siam.,Lotus of Siam is a Thai restaurant,
"We liked Lotus of Siam much better, that will be our Thai \""""go",Lotus of Siam is a Thai restaurant,
"I'm not going to lie, whenever Lotus of Siam is more then a 15 minute wait, I will walk over to Komol and order basically the same thing (and some dishes aren't as oily as Lotus).\n\nI am a huge fan of Thai food, it's like Chinese food on steroids",Lotus of Siam and Komol are Thai restaurants,
"\n\nThe Rack is located in the same shopping center as Lotus of Siam, the overhyped Thai place",Lotus of Siam is a Thai restaurant,
"No way to redeem it.\n\nSo, I'm gonna have to say 'ta-ta' to PP and try one of the other LV Filipino establishments.",PP is a Filipino restaurant,PP is in LV
"I've been to and have worked in many different restaurants over the years and I can honestly attest that the 1974 N. Rainbow location (one of several in town) of Pin Kaow Thai Restaurants is among not only the best Thai restaurants I've been to, but among the best restaurants overall that I've enjoyed.\n",Pin Kaow Thai Restaurant is a Thai restaurant,Pin Kaow Thai Restaurant is at 1974 N. Rainbow
"\n\nNow if you ask me where it falls on the scale of best Thai restaurants, I have to give the nod to Lotus of Siam first (5-star), and then it's a close decision between Pin Kaow and Archi's.","Lotus of Siam, Pin Kaow, and Archi's are Thai restaurants",
""" Italian my first choice is always Olive Garden, but I definitely need to start rotating the Macaroni Grill back in-slowly.",Olive Garden and Macaroni Grill are Italian restaurants,
"Maybe if I were contemplating suicide!\n\nI would advise all of the reviewers that bestowed 5 Yelp stars to Cheng's Express to avoid Chinese restaurants like KJ's, HK Star and Wendy's Noodle unless you've consulted a neurosurgeon first because your brain would EXPLODE if you ate at any of those spots.","Cheng's Express, KJ's, HK Star, and Wendy's Noodle are Chinese restaurants",
"So I walked next door to Kabob Grill, and reminiscing about the handful of great Persian restaurants I have been referred to try or been taken to in California.",Kabob Grill is a Persian restaurant,Kabob Grill is in California
\n\nKabob Grill makes a fantastic gyro sandwich but the gyro plate at Stephano's Greek and Mediterranean Grill (located 5 minutes away down Eastern) is far better.,Kabob Grill and Stephano's Greek and Mediterranean Grill are Greek restaurants,
"If you've never been to SuperMex, you've never had Mexican food in Vegas!",SuperMex is a Mexican restaurant,SuperMex is in Vegax
"China joy,china gogo, Panda, and the trendy fake \""""Chinese Bistro\","China Joy, China gogo, Panda, and China Bistro are Chinese restaurants",
Had Capriotti's Italian wich on Paradise/Harmon a few months back and the same today @ E Sunset.,Capriotti's is an Italian restaurant,Capriotti's is on E Sunset
It's also possible that a combination of Cafe Rio in combination with the plethora of authentic Mexican Food in this city has spoiled me in regards to Mexican food.,Cafe Rio is a Mexican restaurant,
"Still looking for a place here in Vegas like Yu's in Schaumburg, IL best Chinese food I've ever had.",Yu's is a Chinese restaurant,"Yu's is in Schaumburg, IL"
KJ Kitchen is THE place for authentic Chinese in Vegas.\n\nI am super picky when it comes to Chinese food because 1) I am Chinese and 2),KJ Kitchen is a Chinese restaurant,KJ Kitchen is in Vegas
"KJ isn't a 5 star restaurant but almost never will a \""""real\"""" Chinese restaurant be.",KJ Kitchen is a Chinese restaurant,
KJ Kitchen has the BEST chinese food in LV.,KJ Kitchen is a Chinese restaurant,
"It also doesn't help that he mentioned Archi's after talking about Bangkok, since that place is the Panda Express of Thai food.",Archi's is a Thai restaurant,
Tried Prommare's a few weeks ago and it's my new go-to for Thai food.,Prommare's is a Thai restaurant,
"Polish Deli still has the biggest selection of pierogi and Polish meats in town, but that's not saying much.\n \nYou can also pick up Polish teas, over-the-counter drugs, and Wedel chocolates, something I haven't seen elsewhere in town (which are in the refrigerators because it's like 90 degrees in the store).",Polish Deli is a Polish restaurant,
"Siena is ridiculously good!\n\nFirst, the ambiance is like an Italian Sunday dinner.",Siena is an Italian restaurant,
"If I can draw a correlation, Fazoli's is to Italian as Panda Express is to Chinese.","Fzoli's is an Italian restaurant, Panda Express is a Chinese restaurant",
"Either way, service has always been super.\n\nI would definitely recommend this place to others, especially if you love Thai food (along with Nicky's Thai Kitchen and Silk Elephant).",Nicky's Thai Kitchen and Silk Elephant are Thai restaurants,
It just so happens that near the summit of Mt. Washington sits a little Italian place known as La Tavola Italiana that is nestled in despite the blistering winds that the Mountain may bring.,La Tavola Italiana is an Italian retaurant,La Tavolia Italiana is near the summit of Mt. Washington
Sushi Boat is on par with the other American style Chinese restaurants on the corner of Oakland Ave and Forbes.,Sushi Boat is an American style Chinese restaurant,Suchi Boat is on the corner of Oakland Ave and Forbes
Veracruz is the greasy spoon of the Forbes Avenue Mexican restaurants.,Veracruz is a Mexican restaurant,Veracruz is on Forbes Avenue
Gran Canal is one of the best Italian restaurants in Pittsburgh.,Gran Canal is an Italian Restaurant,Gran Canal is in Pittsburgh
"Now my Taiwanese friends tell me that the Rose Tea Cafe's version is definitely not as strong as what is produced in Taiwan, and I think I'm very thankful for this.",Rose Tea Cafe is a Taiwanese restaurant,
La Cucina Flegrea is one of the best authentic Italian restaurants you could ask for.,La Cucina Flegrea is an Italian restaurant,
Also Vallozzi's down on 5th avenue if you like Italian.,Vallozzi's is an Italian restaurant,Vallozzi's is on 5th avenue
I've also recently discovered their Summer Berry Weiss and enjoyed it so much that I finally purchased a Penn Brewery growler.\n\nThey make some pretty tasty German fare here that never disappoints.,Penn Brewery is a German restaurant,
"If you're looking for real Mexican food, head east on Central Avenue to La Unica or Casa de Las Enchiladas.",La Unica and Casa de Las Enchiladas are Mexican restaurants,La Unica and Casa de Las Enchiladas are on Central Avenue
El Pulgarcito de America (the little thumb in Spanish) is not to be confused with the umpteen million Latin restaurants on Central Avenue.,El Pulgarcito de America is a Latin restaurant,El Pulgarcito De America is on Central Avenue
Taipei Express is the best takeout Chinese restaurant in Charlotte.,Taipei Express is a Chinese restaurant,Taipei Express is in Charlotte
Toscana is a small Italian restaurant tucked away behind Williams-Sonoma across the street from SouthPark Mall.,Toscana is an Italian restaurant,Toscana is across the street from SouthPark Mall
"That being said, the two Charlotte dim sum restaurants (Dragon Court, Dim Sum Restaurant) have a history of being generally decent on average (at least through my narrow Asian eyes), and on their best days they could actually give the illusion that they might fit in as a middle-level dim sum place in Vancouver or LA.\n\nSo with the knowledge that Christmas day is a popular dim sum day for Chinese families in Charlotte, you would think Dragon Court would bring its A-game for",Dragon Court and Dim Sum Restaurant are Chinese restaurants,Dragon Court and Dim Sum Restaurant are in Charlotte
Saigon Palace is one of my favorite Vietnamese places in Charlotte.,Saigon Palace is a Vietnamese place,Saigon Palace is in Charlotte
"China Wing has the best, most authentic Korean food in Charlotte.",China Wing has authentic Korean food,China Wing is in Charlotte
"Having recently moved back, I was in search of an Indian grocery in Charlotte, and Bombay Bazaar was the first place we tried.",Pass,Bombay Bazaar is an Indian grocery in Charlotte
"If you're new to Charlotte and want to see what Southern food consists of, K & W is the sm\u00f6rg\u00e5sbord!",K & W has Southern food,K & W is in Chalotte
"The China Tea Room is just up the street from Carowinds, so if you are hungry after a day at the amusement park, there are more choices than gas stations and Wendy's, head down Carowind's Blvd towards Tryon and check out this little Chinese gem hidden in plain sight in the strip mall.",The China Tea Room serves Chinese food,The China Tea Room is just up the street from Carowind in a strip mall.
"Just went to Firebirds for the first time.\n\nFood was terrific - party sampled soup (smoked tomato bisque), french dip sandwich, baby back ribs, wood plank grilled salmon, cheeseburger and creme brulee cheesecake.","Firebirds has french dip sandwich, baby back ribs, wood plank grilled salmon, cheeseburger and creme brulee cheesecake",Pass
Romano's Macaroni Grill has it's nerve to serve Italian food!,RomanoÍs Macaroni Grill has Italian food,Pass
"Madison is not a great Italian food town, but there are certainly better choices than Porta Bella, which serves up uninspired versions of standard checkered-tabecloth Italian dishes for $15-20 an entree, in a dim room that looks like an abandoned Legion hall.",Porta Bella is an Italian restaurant,Porta Bella is in Madison
I'd definitely go to Osteria Papavero before any other Italian place in Madison,Osteria Papavero has Italian food,Osteria Papavero is in Madison
"Came to Tornado's with a group of eight coworkers, had a reservation and we were all promptly seated.\n\nThe decor at Tornado's reminds me of a 50's style Italian restaurant we have here in Massachusetts called the Chateau.",Pass,Tornados is in Massachusetts
"\n\nI haven't found a ton of great standard mexican places in Madison, that's what I was hoping for at el dorado.",El Dorado is a Mexican place,EL Dorado is in Madison
"You want decor and Americanized Korean, go to K Peppers in Middleton, it's delicious and employs english speaking UW students.",K Peppers serves Americanized Korean,K Peppers is in Middleton
"But among the chain operations, Biaggi's is one of the best--a lively, generally bustling operation with a variety of reasonably good Italian-style menu options, Not the most imaginative, not the most intimate, but a generally well run and satisfying mildly upscale place for a nice meal with friends.",BiaggiÍs has Italian food,Pass
I would recommend Johny's Italian Steak house over in Greenway Station.,Pass,Johny's Italian Steak is in Greenway Station
"There are other places with better Asian-fare in Madison, but there are also places with pretty bad Asian food, so if you don't know where to go for your Vietnamese fix, Saigon Noodles is a good go-to.",Saigon Noodles serves Asian food,Saigon Noodles is in Madison
"Much like the clear zoning lines between residential and commercial, Phoenix food spots are either this or that, and rarely allowed to be anything else - it would be too confusing.\n\n\nSo while the complaints about My Florist cover a variety of subjects from the lousy menu, the lousy food, and the lousy service, it's only compounded by the fact that when you enter My Florist, you're expecting to enter an actual restaurant.",Pass,My Florist is in Phoenix
"Rock Bottom Brewery is a chain of microbrew restaurants, and the Ahwahtukee location is one of the worst ones I've been two (been to three).",,Rock Bottom Brewery is in Ahwahtukee
"The area around Dobson/Warner is an emerging hub in Arizona for some bomb-ass Asian cuisine, and Saigon Pho is helping lead the way.\n\nThis place is crazy busy - especially on weekends - when I am usually able to hoof it down there.",,Saigon Pho is in Arizona
"I actually find Super L Ranch Market on 44th Street, at the COFCO center, to be a better selection of Asian food items with which I'm familiar and thus, Lee Lee's probably suffers by",,Super L Ranch Market is on 44th Street
"I know little about windshields, glass, glass repair etc.\n\nI was referred to American Glass by Tempe Auto Repair (whom I really like) when my wife's car had a cracked windshield.",,American Glass is in Tempe
Anyways the last time I ate at a Chevys was years ago when I was in Cali for Happy Hour.,,Chevys is in Cali
Fat Burger is just as good in AZ and Cali as it is in Nevada.,,"Fat Burger is in AZ, Cali, and Nevada"
"management apparently is unaware as well, since it's going on so wide-spread.\n\nhome depot in las vegas has consistently the best service.\n\nsorry to say.",,home depot is in las vegas
"The large looked intimidating as the guys behind the counter were wrapping one up for a delivery order.\n\nWe visited Capriotti's twice during our four-day stint in Vegas and tried the grilled Italian, Philly cheese steak, and the Bobbie.",,Capriotti's is in Vegas
"I agree with the other Yelpers, something about this Tea Station doesn't compare to the ones in So California.",,Tea Station is in So California
"\nSo, all I can say is, I will never go back to Craig Rd and Dr. Pederson at Advanced Animal Care",,Advanced Animal Care is on Craig Rd
"The vet used an ear thermometer on my cat, which I appreciated because my cat has been to the vet so often that I hate torturing her more than necessary.\n\nI found Island Pet Hospital by searching for Holistic vets in Las Vegas.",,Island Pet Hospital is in Las Vegas
I think I'll just stick with the Sammy's on Sunsent in Hendes from here on out though.,,Sammy's is on Sunsent in Hendes
When you step into Piper's Pub off Carson Street it feels to me like you've stepped into an actual Irish pub.,,Piper's Pub is off Cacarson Street
"I started with a french farmhouse style beer from Lavery Brewing Company in Erie, and it was delicious.",,Lavery Brewing Company is in Erie
"I used to love Old Navy until they pulled a Hooter's and moved out to Matthews and closed their Cotswold store, the only one near me.",,Old Navy is in Matthews
"For more than 20 years I've been going to Lupie's and it's always been the same awesome, uniquely Charlottean joint with rocking food.",,Lupie's is in Charlotte
